444
9459.0 15.0 17121.0
10794.0 16.0 2879.0
13952.0 2.0 13059.0
29935.0 11.0 10666.0
14450.0 29.0 3264.0
1355.0 10.0 9739.0
4777.0 18.0 4185.0
26330.0 4.0 16366.0
24364.0 16.0 6810.0
9186.0 17.0 11986.0
18057.0 28.0 15321.0
2998.0 10.0 16540.0
11772.0 4.0 6489.0
26830.0 10.0 3967.0
25737.0 25.0 27799.0
5730.0 25.0 29923.0
1263.0 21.0 17631.0
14477.0 26.0 18905.0
27653.0 4.0 11374.0
15032.0 23.0 3930.0
16218.0 3.0 20745.0
12030.0 22.0 14615.0
15669.0 28.0 3417.0
7413.0 23.0 10754.0
24286.0 15.0 12892.0
27565.0 19.0 20166.0
1456.0 4.0 25989.0
1060.0 0.0 3042.0
19087.0 4.0 10278.0
5671.0 14.0 124.0
5081.0 4.0 4528.0
21128.0 19.0 24723.0
15007.0 27.0 29832.0
27792.0 6.0 28597.0
3816.0 11.0 138.0
11335.0 14.0 24148.0
15460.0 5.0 7666.0
6004.0 1.0 21386.0
26227.0 13.0 21790.0
15002.0 10.0 15139.0
22557.0 20.0 13335.0
14378.0 21.0 24040.0
22774.0 20.0 17308.0
24295.0 0.0 1864.0
3319.0 7.0 20126.0
1241.0 26.0 16409.0
4539.0 0.0 28934.0
2284.0 23.0 6091.0
22266.0 18.0 23461.0
10317.0 29.0 871.0
26486.0 18.0 9638.0
29995.0 1.0 6207.0
16739.0 21.0 13458.0
21343.0 3.0 400.0
13773.0 26.0 22426.0
28585.0 14.0 16650.0
24577.0 14.0 249.0
11746.0 18.0 28602.0
18639.0 6.0 1126.0
28135.0 5.0 2937.0
5997.0 2.0 18873.0
6713.0 17.0 28956.0
13778.0 28.0 2165.0
6704.0 9.0 22181.0
28578.0 5.0 18666.0
11267.0 1.0 5099.0
19086.0 10.0 14391.0
1880.0 14.0 25951.0
28381.0 9.0 20017.0
24271.0 26.0 14760.0
17583.0 18.0 11870.0
20598.0 24.0 22187.0
23249.0 10.0 8495.0
2707.0 3.0 21018.0
29922.0 23.0 27508.0
4819.0 11.0 616.0
8860.0 2.0 9286.0
6692.0 28.0 18169.0
13054.0 27.0 26145.0
12676.0 20.0 803.0
29982.0 2.0 24056.0
24597.0 22.0 15094.0
11534.0 7.0 25926.0
22630.0 24.0 8802.0
8587.0 20.0 18367.0
23140.0 15.0 5927.0
330.0 1.0 14630.0
29672.0 8.0 7157.0
