1 0 0 101
2 0 0 106
3 0 0 11
4 0 0 111
5 0 0 116
6 0 0 121
7 0 0 126
8 0 0 131
9 0 0 16
10 0 0 21
11 0 0 26
12 0 0 31
13 0 0 36
14 0 0 41
15 0 0 45
16 0 0 46
17 0 0 49
18 0 0 51
19 0 0 56
20 0 0 6
21 0 0 61
22 0 0 66
23 0 0 71
24 0 0 76
25 0 0 81
26 0 0 86
27 0 0 91
28 0 0 95
29 0 0 96
30 0 0 97
31 2 0 103
32 2 0 105
33 2 0 106
34 2 0 108
35 2 0 11
36 2 0 110
37 2 0 117
38 2 0 122
39 2 0 124
40 2 0 13
41 2 0 15
42 2 0 27
43 2 0 29
44 2 0 31
45 2 0 33
46 2 0 38
47 2 0 43
48 2 0 45
49 2 0 46
50 2 0 48
51 2 0 50
52 2 0 51
53 2 0 53
54 2 0 54
55 2 0 56
56 2 0 57
57 2 0 59
58 2 0 69
59 2 0 71
60 2 0 73
61 2 0 75
62 2 0 77
63 2 0 78
64 2 0 80
65 2 0 82
66 2 0 84
67 2 0 87
68 2 0 89
69 2 0 90
70 2 0 92
71 2 0 94
72 2 0 98
73 5 0 101
74 5 0 104
75 5 0 110
76 5 0 114
77 5 0 12
78 5 0 120
79 5 0 128
80 5 0 132
81 5 0 15
82 5 0 17
83 5 0 19
84 5 0 21
85 5 0 23
86 5 0 25
87 5 0 28
88 5 0 30
89 5 0 33
90 5 0 38
91 5 0 45
92 5 0 47
93 5 0 50
94 5 0 53
95 5 0 56
96 5 0 59
97 5 0 64
98 5 0 70
99 5 0 72
100 5 0 74
101 5 0 77
102 5 0 8
103 5 0 80
104 5 0 84
105 5 0 89
106 5 0 91
107 5 0 93
108 5 0 97
109 8 0 34
110 8 0 40
111 8 0 60
112 8 0 66
113 9 0 108
114 9 0 111
115 9 0 13
116 9 0 31
117 9 0 34
118 9 0 40
119 9 0 43
120 9 0 48
121 9 0 51
122 9 0 54
123 9 0 57
124 9 0 60
125 9 0 66
126 9 0 75
127 9 0 78
128 9 0 82
129 9 0 87
130 9 0 94
131 9 0 98
132 10 0 103
133 10 0 108
134 10 0 11
135 10 0 111
136 10 0 13
137 10 0 27
138 10 0 29
139 10 0 31
140 10 0 34
141 10 0 40
142 10 0 43
143 10 0 46
144 10 0 48
145 10 0 51
146 10 0 54
147 10 0 57
148 10 0 60
149 10 0 66
150 10 0 69
151 10 0 71
152 10 0 73
153 10 0 75
154 10 0 78
155 10 0 82
156 10 0 87
157 10 0 90
158 10 0 92
159 10 0 94
160 10 0 98
161 11 0 103
162 11 0 108
163 11 0 11
164 11 0 111
165 11 0 126
166 11 0 13
167 11 0 16
168 11 0 27
169 11 0 29
170 11 0 31
171 11 0 34
172 11 0 41
173 11 0 43
174 11 0 46
175 11 0 48
176 11 0 51
177 11 0 54
178 11 0 57
179 11 0 60
180 11 0 67
181 11 0 69
182 11 0 71
183 11 0 73
184 11 0 75
185 11 0 78
186 11 0 82
187 11 0 87
188 11 0 90
189 11 0 92
190 11 0 94
191 11 0 98
192 12 0 111
193 12 0 129
194 12 0 34
195 12 0 5
196 12 0 60
197 12 0 94
198 12 0 98
199 15 0 101
200 15 0 104
201 15 0 114
202 15 0 12
203 15 0 120
204 15 0 132
205 15 0 17
206 15 0 19
207 15 0 21
208 15 0 23
209 15 0 25
210 15 0 28
211 15 0 30
212 15 0 47
213 15 0 70
214 15 0 72
215 15 0 74
216 15 0 8
217 15 0 91
218 15 0 93
219 15 0 97
220 17 0 106
